Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 4.6381, 'grad_norm': 4.177541255950928, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 2.9156, 'grad_norm': 2.7146170139312744, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 2.8183, 'grad_norm': 2.755418062210083, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 2.301, 'grad_norm': 2.536750078201294, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 2.3775, 'grad_norm': 5.761895179748535, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 2.3495, 'grad_norm': 2.716064453125, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 2.1506, 'grad_norm': 2.3683650493621826, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 2.1222, 'grad_norm': 2.9815447330474854, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 2.1752, 'grad_norm': 4.853082656860352, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 2.1194, 'grad_norm': 2.1260111331939697, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.5206581354141235, 'eval_runtime': 3.523, 'eval_samples_per_second': 37.468, 'eval_steps_per_second': 18.734, 'epoch': 1.0}
{'loss': 1.633, 'grad_norm': 2.2397007942199707, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.5808, 'grad_norm': 2.483137369155884, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.6031, 'grad_norm': 2.3925278186798096, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.7081, 'grad_norm': 2.023254871368408, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.7207, 'grad_norm': 2.503951072692871, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.5417, 'grad_norm': 2.5624356269836426, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.4953, 'grad_norm': 2.05478835105896, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.6615, 'grad_norm': 2.333547353744507, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.8983, 'grad_norm': 2.1758086681365967, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 1.4205, 'grad_norm': 2.1401000022888184, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.4789637327194214, 'eval_runtime': 3.704, 'eval_samples_per_second': 35.637, 'eval_steps_per_second': 17.818, 'epoch': 2.0}
{'loss': 1.2732, 'grad_norm': 2.44913387298584, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 1.3786, 'grad_norm': 2.051265001296997, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 1.3348, 'grad_norm': 1.8334842920303345, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 1.3275, 'grad_norm': 4.595388412475586, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 1.3606, 'grad_norm': 1.890418529510498, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 1.4539, 'grad_norm': 1.8907124996185303, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 1.2486, 'grad_norm': 2.547609567642212, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 1.3535, 'grad_norm': 2.274003505706787, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 1.5162, 'grad_norm': 2.8232314586639404, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 1.4925, 'grad_norm': 2.8526792526245117, 'learning_rate': 0.00112, 'epoch': 3.0}
