Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 3.0022, 'grad_norm': 2.14152193069458, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 1.8807, 'grad_norm': 1.7675448656082153, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 1.9799, 'grad_norm': 2.305185556411743, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.6456, 'grad_norm': 1.8195521831512451, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.7476, 'grad_norm': 1.641546368598938, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.7465, 'grad_norm': 1.6433086395263672, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.5535, 'grad_norm': 1.339977741241455, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.5732, 'grad_norm': 1.6414906978607178, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 1.6114, 'grad_norm': 1.5825567245483398, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 1.5893, 'grad_norm': 1.3976458311080933, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.3325327634811401, 'eval_runtime': 3.1746, 'eval_samples_per_second': 41.58, 'eval_steps_per_second': 20.79, 'epoch': 1.0}
{'loss': 1.0338, 'grad_norm': 1.6834086179733276, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.0561, 'grad_norm': 1.6104543209075928, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.0655, 'grad_norm': 1.579189419746399, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.1465, 'grad_norm': 1.595309853553772, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.1328, 'grad_norm': 1.7910575866699219, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.0468, 'grad_norm': 1.6170713901519775, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.0084, 'grad_norm': 1.370179533958435, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.1476, 'grad_norm': 1.52720308303833, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.319, 'grad_norm': 1.540913701057434, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 0.9649, 'grad_norm': 1.5208700895309448, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.353440523147583, 'eval_runtime': 3.2803, 'eval_samples_per_second': 40.24, 'eval_steps_per_second': 20.12, 'epoch': 2.0}
{'loss': 0.7293, 'grad_norm': 1.7397503852844238, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 0.8134, 'grad_norm': 1.2572154998779297, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 0.7875, 'grad_norm': 1.618479609489441, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 0.7747, 'grad_norm': 1.6590641736984253, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 0.8233, 'grad_norm': 1.5724689960479736, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 0.8556, 'grad_norm': 1.4699710607528687, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 0.7683, 'grad_norm': 1.822830080986023, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 0.8291, 'grad_norm': 1.5224788188934326, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 0.9466, 'grad_norm': 1.6737838983535767, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 0.962, 'grad_norm': 1.794405460357666, 'learning_rate': 0.00112, 'epoch': 3.0}
