Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 3.601, 'grad_norm': 3.361144781112671, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 2.236, 'grad_norm': 2.2230477333068848, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 2.2811, 'grad_norm': 2.993685483932495, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.9262, 'grad_norm': 2.0765438079833984, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.9938, 'grad_norm': 1.9740018844604492, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.98, 'grad_norm': 2.021716594696045, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.8133, 'grad_norm': 1.785347580909729, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.8111, 'grad_norm': 2.0881807804107666, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 1.8715, 'grad_norm': 2.20648455619812, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 1.8289, 'grad_norm': 1.9251799583435059, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.42076575756073, 'eval_runtime': 3.2203, 'eval_samples_per_second': 40.99, 'eval_steps_per_second': 20.495, 'epoch': 1.0}
{'loss': 1.3166, 'grad_norm': 2.0918569564819336, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.3085, 'grad_norm': 1.7838835716247559, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.3435, 'grad_norm': 1.7701928615570068, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.4268, 'grad_norm': 1.9342429637908936, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.4043, 'grad_norm': 1.8257354497909546, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.2772, 'grad_norm': 2.0334997177124023, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.2307, 'grad_norm': 5.09168815612793, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.3942, 'grad_norm': 1.8608455657958984, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.6167, 'grad_norm': 1.7166452407836914, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 1.2144, 'grad_norm': 1.8770054578781128, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.38486647605896, 'eval_runtime': 3.5416, 'eval_samples_per_second': 37.272, 'eval_steps_per_second': 18.636, 'epoch': 2.0}
{'loss': 1.0325, 'grad_norm': 2.175593614578247, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 1.0908, 'grad_norm': 1.7046858072280884, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 1.0674, 'grad_norm': 1.9461123943328857, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 1.0476, 'grad_norm': 1.839033842086792, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 1.1018, 'grad_norm': 1.640033483505249, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 1.1768, 'grad_norm': 1.810940146446228, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 1.048, 'grad_norm': 2.149409532546997, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 1.0919, 'grad_norm': 1.6217623949050903, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 1.2191, 'grad_norm': 2.3154404163360596, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 1.2696, 'grad_norm': 1.765901803970337, 'learning_rate': 0.00112, 'epoch': 3.0}
{'eval_loss': 1.423125982284546, 'eval_runtime': 3.5631, 'eval_samples_per_second': 37.046, 'eval_steps_per_second': 18.523, 'epoch': 3.0}
{'loss': 0.8735, 'grad_norm': 1.52338707447052, 'learning_rate': 0.001104, 'epoch': 3.1}
{'loss': 0.8552, 'grad_norm': 1.8746953010559082, 'learning_rate': 0.0010880000000000002, 'epoch': 3.2}
{'loss': 0.8914, 'grad_norm': 1.7028143405914307, 'learning_rate': 0.001072, 'epoch': 3.3}
{'loss': 1.045, 'grad_norm': 2.305985927581787, 'learning_rate': 0.001056, 'epoch': 3.4}
{'loss': 0.9431, 'grad_norm': 1.6564176082611084, 'learning_rate': 0.0010400000000000001, 'epoch': 3.5}
{'loss': 0.8651, 'grad_norm': 2.0186069011688232, 'learning_rate': 0.0010240000000000002, 'epoch': 3.6}
{'loss': 0.9451, 'grad_norm': 1.668689489364624, 'learning_rate': 0.001008, 'epoch': 3.7}
{'loss': 0.9036, 'grad_norm': 2.008293628692627, 'learning_rate': 0.000992, 'epoch': 3.8}
{'loss': 0.902, 'grad_norm': 1.9742555618286133, 'learning_rate': 0.000976, 'epoch': 3.9}
{'loss': 1.0771, 'grad_norm': 1.6640681028366089, 'learning_rate': 0.00096, 'epoch': 4.0}
{'eval_loss': 1.442972183227539, 'eval_runtime': 3.5849, 'eval_samples_per_second': 36.822, 'eval_steps_per_second': 18.411, 'epoch': 4.0}
{'loss': 0.7157, 'grad_norm': 10.249741554260254, 'learning_rate': 0.000944, 'epoch': 4.1}
{'loss': 0.8198, 'grad_norm': 1.7121882438659668, 'learning_rate': 0.000928, 'epoch': 4.2}
{'loss': 0.7581, 'grad_norm': 1.6557865142822266, 'learning_rate': 0.0009119999999999999, 'epoch': 4.3}
{'loss': 0.7477, 'grad_norm': 1.5853248834609985, 'learning_rate': 0.0008960000000000001, 'epoch': 4.4}
{'loss': 0.8137, 'grad_norm': 1.3870728015899658, 'learning_rate': 0.0008800000000000001, 'epoch': 4.5}
{'loss': 0.8042, 'grad_norm': 1.790736436843872, 'learning_rate': 0.0008640000000000001, 'epoch': 4.6}
{'loss': 0.8207, 'grad_norm': 1.5501517057418823, 'learning_rate': 0.0008480000000000001, 'epoch': 4.7}
{'loss': 0.8487, 'grad_norm': 2.0583152770996094, 'learning_rate': 0.0008320000000000001, 'epoch': 4.8}
{'loss': 0.9084, 'grad_norm': 1.6816985607147217, 'learning_rate': 0.0008160000000000001, 'epoch': 4.9}
{'loss': 0.8443, 'grad_norm': 1.5739710330963135, 'learning_rate': 0.0008, 'epoch': 5.0}
{'eval_loss': 1.480896234512329, 'eval_runtime': 3.596, 'eval_samples_per_second': 36.707, 'eval_steps_per_second': 18.354, 'epoch': 5.0}
{'loss': 0.7115, 'grad_norm': 2.2649896144866943, 'learning_rate': 0.000784, 'epoch': 5.1}
{'loss': 0.6538, 'grad_norm': 1.817182183265686, 'learning_rate': 0.000768, 'epoch': 5.2}
{'loss': 0.6741, 'grad_norm': 1.7760883569717407, 'learning_rate': 0.000752, 'epoch': 5.3}
{'loss': 0.7535, 'grad_norm': 1.4534258842468262, 'learning_rate': 0.0007360000000000001, 'epoch': 5.4}
{'loss': 0.6478, 'grad_norm': 8.64424991607666, 'learning_rate': 0.00072, 'epoch': 5.5}
{'loss': 0.7202, 'grad_norm': 1.3605678081512451, 'learning_rate': 0.0007040000000000001, 'epoch': 5.6}
{'loss': 0.7565, 'grad_norm': 1.4321969747543335, 'learning_rate': 0.000688, 'epoch': 5.7}
{'loss': 0.72, 'grad_norm': 1.7063653469085693, 'learning_rate': 0.000672, 'epoch': 5.8}
{'loss': 0.8029, 'grad_norm': 1.6243247985839844, 'learning_rate': 0.000656, 'epoch': 5.9}
{'loss': 0.7322, 'grad_norm': 2.557429075241089, 'learning_rate': 0.00064, 'epoch': 6.0}
{'eval_loss': 1.4895814657211304, 'eval_runtime': 3.6091, 'eval_samples_per_second': 36.575, 'eval_steps_per_second': 18.287, 'epoch': 6.0}
{'loss': 0.6255, 'grad_norm': 1.589206576347351, 'learning_rate': 0.0006240000000000001, 'epoch': 6.1}
{'loss': 0.6556, 'grad_norm': 1.778049349784851, 'learning_rate': 0.000608, 'epoch': 6.2}
{'loss': 0.5526, 'grad_norm': 1.5524064302444458, 'learning_rate': 0.000592, 'epoch': 6.3}
{'loss': 0.5941, 'grad_norm': 1.9923017024993896, 'learning_rate': 0.000576, 'epoch': 6.4}
{'loss': 0.5949, 'grad_norm': 1.533439040184021, 'learning_rate': 0.00056, 'epoch': 6.5}
{'loss': 0.6524, 'grad_norm': 1.1569527387619019, 'learning_rate': 0.0005440000000000001, 'epoch': 6.6}
{'loss': 0.5824, 'grad_norm': 1.5044504404067993, 'learning_rate': 0.000528, 'epoch': 6.7}
{'loss': 0.7653, 'grad_norm': 1.8947895765304565, 'learning_rate': 0.0005120000000000001, 'epoch': 6.8}
{'loss': 0.5885, 'grad_norm': 1.2587413787841797, 'learning_rate': 0.000496, 'epoch': 6.9}
{'loss': 0.6519, 'grad_norm': 1.3639938831329346, 'learning_rate': 0.00048, 'epoch': 7.0}
{'eval_loss': 1.5166326761245728, 'eval_runtime': 3.5907, 'eval_samples_per_second': 36.761, 'eval_steps_per_second': 18.381, 'epoch': 7.0}
{'loss': 0.56, 'grad_norm': 1.7744183540344238, 'learning_rate': 0.000464, 'epoch': 7.1}
{'loss': 0.5942, 'grad_norm': 1.5468003749847412, 'learning_rate': 0.00044800000000000005, 'epoch': 7.2}
{'loss': 0.55, 'grad_norm': 1.6633527278900146, 'learning_rate': 0.00043200000000000004, 'epoch': 7.3}
{'loss': 0.5151, 'grad_norm': 1.3335729837417603, 'learning_rate': 0.00041600000000000003, 'epoch': 7.4}
{'loss': 0.5829, 'grad_norm': 1.5144431591033936, 'learning_rate': 0.0004, 'epoch': 7.5}
{'loss': 0.6285, 'grad_norm': 1.3863625526428223, 'learning_rate': 0.000384, 'epoch': 7.6}
{'loss': 0.6021, 'grad_norm': 1.6257727146148682, 'learning_rate': 0.00036800000000000005, 'epoch': 7.7}
{'loss': 0.5645, 'grad_norm': 1.4722548723220825, 'learning_rate': 0.00035200000000000005, 'epoch': 7.8}
{'loss': 0.5498, 'grad_norm': 1.4237244129180908, 'learning_rate': 0.000336, 'epoch': 7.9}
{'loss': 0.6095, 'grad_norm': 1.940914273262024, 'learning_rate': 0.00032, 'epoch': 8.0}
{'eval_loss': 1.5478050708770752, 'eval_runtime': 3.5801, 'eval_samples_per_second': 36.871, 'eval_steps_per_second': 18.435, 'epoch': 8.0}
{'loss': 0.5307, 'grad_norm': 1.2567036151885986, 'learning_rate': 0.000304, 'epoch': 8.1}
{'loss': 0.5513, 'grad_norm': 1.4095174074172974, 'learning_rate': 0.000288, 'epoch': 8.2}
{'loss': 0.5236, 'grad_norm': 1.2875103950500488, 'learning_rate': 0.00027200000000000005, 'epoch': 8.3}
{'loss': 0.5129, 'grad_norm': 5.1840128898620605, 'learning_rate': 0.00025600000000000004, 'epoch': 8.4}
{'loss': 0.4865, 'grad_norm': 1.5778902769088745, 'learning_rate': 0.00024, 'epoch': 8.5}
{'loss': 0.5127, 'grad_norm': 1.487531304359436, 'learning_rate': 0.00022400000000000002, 'epoch': 8.6}
{'loss': 0.5138, 'grad_norm': 1.461450457572937, 'learning_rate': 0.00020800000000000001, 'epoch': 8.7}
{'loss': 0.5217, 'grad_norm': 1.868402361869812, 'learning_rate': 0.000192, 'epoch': 8.8}
{'loss': 0.528, 'grad_norm': 1.4324686527252197, 'learning_rate': 0.00017600000000000002, 'epoch': 8.9}
{'loss': 0.492, 'grad_norm': 1.2005598545074463, 'learning_rate': 0.00016, 'epoch': 9.0}
{'eval_loss': 1.557373046875, 'eval_runtime': 3.5783, 'eval_samples_per_second': 36.889, 'eval_steps_per_second': 18.444, 'epoch': 9.0}
{'loss': 0.4757, 'grad_norm': 1.3234869241714478, 'learning_rate': 0.000144, 'epoch': 9.1}
{'loss': 0.5275, 'grad_norm': 1.1925195455551147, 'learning_rate': 0.00012800000000000002, 'epoch': 9.2}
{'loss': 0.4681, 'grad_norm': 1.3121020793914795, 'learning_rate': 0.00011200000000000001, 'epoch': 9.3}
{'loss': 0.4706, 'grad_norm': 1.586726427078247, 'learning_rate': 9.6e-05, 'epoch': 9.4}
{'loss': 0.4427, 'grad_norm': 1.245049238204956, 'learning_rate': 8e-05, 'epoch': 9.5}
{'loss': 0.4615, 'grad_norm': 1.517500877380371, 'learning_rate': 6.400000000000001e-05, 'epoch': 9.6}
{'loss': 0.4755, 'grad_norm': 1.0976476669311523, 'learning_rate': 4.8e-05, 'epoch': 9.7}
{'loss': 0.524, 'grad_norm': 1.2747069597244263, 'learning_rate': 3.2000000000000005e-05, 'epoch': 9.8}
{'loss': 0.4944, 'grad_norm': 1.385162591934204, 'learning_rate': 1.6000000000000003e-05, 'epoch': 9.9}
{'loss': 0.4778, 'grad_norm': 2.0936636924743652, 'learning_rate': 0.0, 'epoch': 10.0}
{'eval_loss': 1.5743932723999023, 'eval_runtime': 3.5928, 'eval_samples_per_second': 36.74, 'eval_steps_per_second': 18.37, 'epoch': 10.0}
{'train_runtime': 889.2538, 'train_samples_per_second': 11.695, 'train_steps_per_second': 1.462, 'train_loss': 0.9258750911859366, 'epoch': 10.0}
