Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 3.0054, 'grad_norm': 2.1627490520477295, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 1.873, 'grad_norm': 1.8042048215866089, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 1.9856, 'grad_norm': 3.5694761276245117, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.6344, 'grad_norm': 1.8188729286193848, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.7529, 'grad_norm': 1.6970473527908325, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.7494, 'grad_norm': 1.546312689781189, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.5605, 'grad_norm': 1.4289672374725342, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.572, 'grad_norm': 1.685235619544983, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 1.6131, 'grad_norm': 1.5593839883804321, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 1.5973, 'grad_norm': 1.4065167903900146, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.327082633972168, 'eval_runtime': 3.2929, 'eval_samples_per_second': 40.086, 'eval_steps_per_second': 20.043, 'epoch': 1.0}
{'loss': 1.0454, 'grad_norm': 1.6354511976242065, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.0701, 'grad_norm': 1.5764986276626587, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.0722, 'grad_norm': 1.5482747554779053, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.1489, 'grad_norm': 1.5039807558059692, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.133, 'grad_norm': 1.5586400032043457, 'learning_rate': 0.00136, 'epoch': 1.5}
