Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 2.9905, 'grad_norm': 2.0707895755767822, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 1.8997, 'grad_norm': 3.725111484527588, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 2.0201, 'grad_norm': 2.5995829105377197, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.7372, 'grad_norm': 2.200861692428589, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.9168, 'grad_norm': 2.312721014022827, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.9563, 'grad_norm': 2.5450241565704346, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.8225, 'grad_norm': 3.103848695755005, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.8729, 'grad_norm': 2.9786806106567383, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 2.0667, 'grad_norm': 2.756716728210449, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 2.0534, 'grad_norm': 4.188446998596191, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.6821707487106323, 'eval_runtime': 3.2134, 'eval_samples_per_second': 41.078, 'eval_steps_per_second': 20.539, 'epoch': 1.0}
{'loss': 1.4971, 'grad_norm': 2.6464338302612305, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.5281, 'grad_norm': 2.6944985389709473, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.6527, 'grad_norm': 2.7032365798950195, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.8509, 'grad_norm': 3.589982271194458, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.8963, 'grad_norm': 3.1357133388519287, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.8193, 'grad_norm': 3.4621803760528564, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.7513, 'grad_norm': 2.699613332748413, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 2.0524, 'grad_norm': 3.4121835231781006, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 2.419, 'grad_norm': 3.588885545730591, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 1.7368, 'grad_norm': 2.691159248352051, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.9753329753875732, 'eval_runtime': 3.435, 'eval_samples_per_second': 38.428, 'eval_steps_per_second': 19.214, 'epoch': 2.0}
{'loss': 1.5318, 'grad_norm': 3.271975517272949, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 1.721, 'grad_norm': 2.5404837131500244, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 1.7255, 'grad_norm': 2.9945921897888184, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 1.7862, 'grad_norm': 3.517340898513794, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 1.8181, 'grad_norm': 2.825688362121582, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 1.944, 'grad_norm': 2.925072431564331, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 1.8168, 'grad_norm': 3.126112222671509, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 1.9451, 'grad_norm': 2.901120185852051, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 2.1504, 'grad_norm': 2.7890148162841797, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 2.1532, 'grad_norm': 2.9450225830078125, 'learning_rate': 0.00112, 'epoch': 3.0}
{'eval_loss': 1.9769495725631714, 'eval_runtime': 3.4785, 'eval_samples_per_second': 37.948, 'eval_steps_per_second': 18.974, 'epoch': 3.0}
{'loss': 1.5428, 'grad_norm': 2.8272933959960938, 'learning_rate': 0.001104, 'epoch': 3.1}
{'loss': 1.5566, 'grad_norm': 2.6867709159851074, 'learning_rate': 0.0010880000000000002, 'epoch': 3.2}
{'loss': 1.6947, 'grad_norm': 2.9912636280059814, 'learning_rate': 0.001072, 'epoch': 3.3}
{'loss': 1.9303, 'grad_norm': 2.858527898788452, 'learning_rate': 0.001056, 'epoch': 3.4}
{'loss': 1.7871, 'grad_norm': 3.082793951034546, 'learning_rate': 0.0010400000000000001, 'epoch': 3.5}
{'loss': 1.6792, 'grad_norm': 3.7475321292877197, 'learning_rate': 0.0010240000000000002, 'epoch': 3.6}
{'loss': 1.9263, 'grad_norm': 3.1162655353546143, 'learning_rate': 0.001008, 'epoch': 3.7}
{'loss': 1.8726, 'grad_norm': 4.176548004150391, 'learning_rate': 0.000992, 'epoch': 3.8}
{'loss': 1.834, 'grad_norm': 2.7109010219573975, 'learning_rate': 0.000976, 'epoch': 3.9}
{'loss': 2.044, 'grad_norm': 4.300264835357666, 'learning_rate': 0.00096, 'epoch': 4.0}
