Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 3.0054, 'grad_norm': 2.162750482559204, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 1.873, 'grad_norm': 1.8042078018188477, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 1.9856, 'grad_norm': 3.569269895553589, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.6344, 'grad_norm': 1.818852424621582, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.753, 'grad_norm': 1.6971925497055054, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.7499, 'grad_norm': 1.5475119352340698, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.5614, 'grad_norm': 1.4484639167785645, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.5722, 'grad_norm': 1.6890223026275635, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 1.6124, 'grad_norm': 1.5557901859283447, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 1.5976, 'grad_norm': 1.4143861532211304, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.3264296054840088, 'eval_runtime': 3.2178, 'eval_samples_per_second': 41.021, 'eval_steps_per_second': 20.511, 'epoch': 1.0}
{'loss': 1.0435, 'grad_norm': 1.6999046802520752, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.0717, 'grad_norm': 1.5721055269241333, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.0748, 'grad_norm': 1.6010054349899292, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.1468, 'grad_norm': 1.459627389907837, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.1262, 'grad_norm': 1.6440309286117554, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.0503, 'grad_norm': 1.4628376960754395, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.0111, 'grad_norm': 1.6715714931488037, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.1216, 'grad_norm': 1.3900145292282104, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.2886, 'grad_norm': 1.5918326377868652, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 0.9528, 'grad_norm': 1.3188824653625488, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.337472915649414, 'eval_runtime': 3.4385, 'eval_samples_per_second': 38.389, 'eval_steps_per_second': 19.194, 'epoch': 2.0}
{'loss': 0.7446, 'grad_norm': 1.5069799423217773, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 0.8115, 'grad_norm': 1.468979001045227, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 0.801, 'grad_norm': 1.41023588180542, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 0.783, 'grad_norm': 1.7712966203689575, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 0.8075, 'grad_norm': 1.513885736465454, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 0.8574, 'grad_norm': 1.285046935081482, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 0.7493, 'grad_norm': 1.8835617303848267, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 0.804, 'grad_norm': 1.3697969913482666, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 0.9087, 'grad_norm': 1.4540363550186157, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 0.9266, 'grad_norm': 2.4186105728149414, 'learning_rate': 0.00112, 'epoch': 3.0}
{'eval_loss': 1.384135127067566, 'eval_runtime': 3.5238, 'eval_samples_per_second': 37.459, 'eval_steps_per_second': 18.73, 'epoch': 3.0}
{'loss': 0.5946, 'grad_norm': 1.517441987991333, 'learning_rate': 0.001104, 'epoch': 3.1}
{'loss': 0.5754, 'grad_norm': 1.2807576656341553, 'learning_rate': 0.0010880000000000002, 'epoch': 3.2}
{'loss': 0.6187, 'grad_norm': 1.4510388374328613, 'learning_rate': 0.001072, 'epoch': 3.3}
{'loss': 0.7292, 'grad_norm': 1.3727809190750122, 'learning_rate': 0.001056, 'epoch': 3.4}
{'loss': 0.669, 'grad_norm': 1.3833783864974976, 'learning_rate': 0.0010400000000000001, 'epoch': 3.5}
{'loss': 0.6268, 'grad_norm': 2.1574721336364746, 'learning_rate': 0.0010240000000000002, 'epoch': 3.6}
{'loss': 0.6599, 'grad_norm': 1.4029420614242554, 'learning_rate': 0.001008, 'epoch': 3.7}
{'loss': 0.626, 'grad_norm': 1.2410712242126465, 'learning_rate': 0.000992, 'epoch': 3.8}
{'loss': 0.6316, 'grad_norm': 1.3298945426940918, 'learning_rate': 0.000976, 'epoch': 3.9}
{'loss': 0.7572, 'grad_norm': 1.2291455268859863, 'learning_rate': 0.00096, 'epoch': 4.0}
{'eval_loss': 1.4187595844268799, 'eval_runtime': 3.5974, 'eval_samples_per_second': 36.693, 'eval_steps_per_second': 18.347, 'epoch': 4.0}
{'loss': 0.4652, 'grad_norm': 1.3571696281433105, 'learning_rate': 0.000944, 'epoch': 4.1}
{'loss': 0.5424, 'grad_norm': 1.4612135887145996, 'learning_rate': 0.000928, 'epoch': 4.2}
{'loss': 0.4969, 'grad_norm': 1.4064680337905884, 'learning_rate': 0.0009119999999999999, 'epoch': 4.3}
{'loss': 0.4777, 'grad_norm': 1.3333966732025146, 'learning_rate': 0.0008960000000000001, 'epoch': 4.4}
{'loss': 0.5367, 'grad_norm': 2.369690418243408, 'learning_rate': 0.0008800000000000001, 'epoch': 4.5}
{'loss': 0.531, 'grad_norm': 1.5127904415130615, 'learning_rate': 0.0008640000000000001, 'epoch': 4.6}
{'loss': 0.5327, 'grad_norm': 1.30960214138031, 'learning_rate': 0.0008480000000000001, 'epoch': 4.7}
{'loss': 0.5748, 'grad_norm': 1.6993560791015625, 'learning_rate': 0.0008320000000000001, 'epoch': 4.8}
{'loss': 0.5851, 'grad_norm': 1.253240704536438, 'learning_rate': 0.0008160000000000001, 'epoch': 4.9}
{'loss': 0.5868, 'grad_norm': 1.3383431434631348, 'learning_rate': 0.0008, 'epoch': 5.0}
{'eval_loss': 1.484903335571289, 'eval_runtime': 3.5735, 'eval_samples_per_second': 36.938, 'eval_steps_per_second': 18.469, 'epoch': 5.0}
{'loss': 0.4327, 'grad_norm': 1.5283955335617065, 'learning_rate': 0.000784, 'epoch': 5.1}
{'loss': 0.4031, 'grad_norm': 1.1608479022979736, 'learning_rate': 0.000768, 'epoch': 5.2}
{'loss': 0.427, 'grad_norm': 1.4852566719055176, 'learning_rate': 0.000752, 'epoch': 5.3}
{'loss': 0.4769, 'grad_norm': 1.2214463949203491, 'learning_rate': 0.0007360000000000001, 'epoch': 5.4}
{'loss': 0.4062, 'grad_norm': 1.4046905040740967, 'learning_rate': 0.00072, 'epoch': 5.5}
{'loss': 0.454, 'grad_norm': 1.1028382778167725, 'learning_rate': 0.0007040000000000001, 'epoch': 5.6}
{'loss': 0.4691, 'grad_norm': 1.3468670845031738, 'learning_rate': 0.000688, 'epoch': 5.7}
{'loss': 0.4552, 'grad_norm': 1.5312533378601074, 'learning_rate': 0.000672, 'epoch': 5.8}
{'loss': 0.4733, 'grad_norm': 1.4575934410095215, 'learning_rate': 0.000656, 'epoch': 5.9}
{'loss': 0.4738, 'grad_norm': 0.9768698811531067, 'learning_rate': 0.00064, 'epoch': 6.0}
{'eval_loss': 1.5010643005371094, 'eval_runtime': 3.5899, 'eval_samples_per_second': 36.77, 'eval_steps_per_second': 18.385, 'epoch': 6.0}
{'loss': 0.3568, 'grad_norm': 1.093901515007019, 'learning_rate': 0.0006240000000000001, 'epoch': 6.1}
{'loss': 0.3663, 'grad_norm': 1.318581223487854, 'learning_rate': 0.000608, 'epoch': 6.2}
{'loss': 0.3227, 'grad_norm': 1.5588704347610474, 'learning_rate': 0.000592, 'epoch': 6.3}
{'loss': 0.3649, 'grad_norm': 1.2674466371536255, 'learning_rate': 0.000576, 'epoch': 6.4}
{'loss': 0.362, 'grad_norm': 1.1484124660491943, 'learning_rate': 0.00056, 'epoch': 6.5}
{'loss': 0.4009, 'grad_norm': 1.0665944814682007, 'learning_rate': 0.0005440000000000001, 'epoch': 6.6}
{'loss': 0.3372, 'grad_norm': 0.839724600315094, 'learning_rate': 0.000528, 'epoch': 6.7}
{'loss': 0.4394, 'grad_norm': 1.2217141389846802, 'learning_rate': 0.0005120000000000001, 'epoch': 6.8}
{'loss': 0.3264, 'grad_norm': 1.0594078302383423, 'learning_rate': 0.000496, 'epoch': 6.9}
{'loss': 0.3772, 'grad_norm': 1.138724446296692, 'learning_rate': 0.00048, 'epoch': 7.0}
{'eval_loss': 1.582542061805725, 'eval_runtime': 3.595, 'eval_samples_per_second': 36.718, 'eval_steps_per_second': 18.359, 'epoch': 7.0}
{'loss': 0.294, 'grad_norm': 1.2629541158676147, 'learning_rate': 0.000464, 'epoch': 7.1}
{'loss': 0.3029, 'grad_norm': 1.1699318885803223, 'learning_rate': 0.00044800000000000005, 'epoch': 7.2}
{'loss': 0.283, 'grad_norm': 1.1820523738861084, 'learning_rate': 0.00043200000000000004, 'epoch': 7.3}
{'loss': 0.2777, 'grad_norm': 0.9989662170410156, 'learning_rate': 0.00041600000000000003, 'epoch': 7.4}
{'loss': 0.3273, 'grad_norm': 1.0919021368026733, 'learning_rate': 0.0004, 'epoch': 7.5}
{'loss': 0.3813, 'grad_norm': 3.3071861267089844, 'learning_rate': 0.000384, 'epoch': 7.6}
{'loss': 0.3528, 'grad_norm': 1.1943949460983276, 'learning_rate': 0.00036800000000000005, 'epoch': 7.7}
{'loss': 0.3033, 'grad_norm': 1.6729741096496582, 'learning_rate': 0.00035200000000000005, 'epoch': 7.8}
{'loss': 0.2942, 'grad_norm': 1.4282515048980713, 'learning_rate': 0.000336, 'epoch': 7.9}
