Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 4.2476, 'grad_norm': 3.5703377723693848, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 2.8107, 'grad_norm': 2.780515670776367, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 2.7264, 'grad_norm': 3.185084104537964, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 2.2178, 'grad_norm': 2.398853063583374, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 2.2891, 'grad_norm': 6.00189733505249, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 2.201, 'grad_norm': 5.663454055786133, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 2.0484, 'grad_norm': 2.482902765274048, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 2.0241, 'grad_norm': 2.0042736530303955, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 2.0714, 'grad_norm': 2.0231902599334717, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 2.0089, 'grad_norm': 2.049014091491699, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.4710801839828491, 'eval_runtime': 3.2919, 'eval_samples_per_second': 40.098, 'eval_steps_per_second': 20.049, 'epoch': 1.0}
{'loss': 1.5233, 'grad_norm': 2.141500234603882, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.4678, 'grad_norm': 1.9503613710403442, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.5042, 'grad_norm': 1.9372484683990479, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.6221, 'grad_norm': 2.2060649394989014, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.6155, 'grad_norm': 1.9952644109725952, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.4486, 'grad_norm': 2.051530361175537, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.4016, 'grad_norm': 2.5908689498901367, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.5527, 'grad_norm': 2.1459150314331055, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.797, 'grad_norm': 1.9334385395050049, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 1.318, 'grad_norm': 2.6289806365966797, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.4428294897079468, 'eval_runtime': 3.6369, 'eval_samples_per_second': 36.295, 'eval_steps_per_second': 18.147, 'epoch': 2.0}
{'loss': 1.1909, 'grad_norm': 1.936208724975586, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 1.2631, 'grad_norm': 1.8968944549560547, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 1.2442, 'grad_norm': 1.7894505262374878, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 1.2133, 'grad_norm': 2.292276382446289, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 1.2787, 'grad_norm': 1.7152224779129028, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 1.3454, 'grad_norm': 1.6143561601638794, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 1.1604, 'grad_norm': 2.13537859916687, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 1.2719, 'grad_norm': 2.0675787925720215, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 1.3901, 'grad_norm': 2.1317925453186035, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 1.4452, 'grad_norm': 2.0264663696289062, 'learning_rate': 0.00112, 'epoch': 3.0}
{'eval_loss': 1.451289176940918, 'eval_runtime': 3.6961, 'eval_samples_per_second': 35.713, 'eval_steps_per_second': 17.856, 'epoch': 3.0}
{'loss': 1.0159, 'grad_norm': 1.9827297925949097, 'learning_rate': 0.001104, 'epoch': 3.1}
{'loss': 0.9918, 'grad_norm': 1.5683449506759644, 'learning_rate': 0.0010880000000000002, 'epoch': 3.2}
{'loss': 1.0769, 'grad_norm': 1.8860340118408203, 'learning_rate': 0.001072, 'epoch': 3.3}
{'loss': 1.2454, 'grad_norm': 2.2626490592956543, 'learning_rate': 0.001056, 'epoch': 3.4}
{'loss': 1.1139, 'grad_norm': 1.8560519218444824, 'learning_rate': 0.0010400000000000001, 'epoch': 3.5}
{'loss': 1.0151, 'grad_norm': 2.391801118850708, 'learning_rate': 0.0010240000000000002, 'epoch': 3.6}
{'loss': 1.1072, 'grad_norm': 1.9326542615890503, 'learning_rate': 0.001008, 'epoch': 3.7}
{'loss': 1.084, 'grad_norm': 1.9190394878387451, 'learning_rate': 0.000992, 'epoch': 3.8}
{'loss': 1.0596, 'grad_norm': 1.962974190711975, 'learning_rate': 0.000976, 'epoch': 3.9}
{'loss': 1.2283, 'grad_norm': 1.7189135551452637, 'learning_rate': 0.00096, 'epoch': 4.0}
{'eval_loss': 1.4831469058990479, 'eval_runtime': 3.595, 'eval_samples_per_second': 36.718, 'eval_steps_per_second': 18.359, 'epoch': 4.0}
{'loss': 0.8546, 'grad_norm': 1.5831629037857056, 'learning_rate': 0.000944, 'epoch': 4.1}
{'loss': 0.9887, 'grad_norm': 1.6402496099472046, 'learning_rate': 0.000928, 'epoch': 4.2}
{'loss': 0.9091, 'grad_norm': 2.014340877532959, 'learning_rate': 0.0009119999999999999, 'epoch': 4.3}
{'loss': 0.9318, 'grad_norm': 2.003040313720703, 'learning_rate': 0.0008960000000000001, 'epoch': 4.4}
{'loss': 0.9747, 'grad_norm': 1.4940860271453857, 'learning_rate': 0.0008800000000000001, 'epoch': 4.5}
{'loss': 0.9862, 'grad_norm': 1.964988350868225, 'learning_rate': 0.0008640000000000001, 'epoch': 4.6}
{'loss': 0.9777, 'grad_norm': 2.071897268295288, 'learning_rate': 0.0008480000000000001, 'epoch': 4.7}
{'loss': 1.0048, 'grad_norm': 1.9563714265823364, 'learning_rate': 0.0008320000000000001, 'epoch': 4.8}
{'loss': 1.0741, 'grad_norm': 2.0736570358276367, 'learning_rate': 0.0008160000000000001, 'epoch': 4.9}
{'loss': 0.998, 'grad_norm': 1.6080526113510132, 'learning_rate': 0.0008, 'epoch': 5.0}
{'eval_loss': 1.498404622077942, 'eval_runtime': 3.5931, 'eval_samples_per_second': 36.737, 'eval_steps_per_second': 18.368, 'epoch': 5.0}
{'loss': 0.8859, 'grad_norm': 1.8837639093399048, 'learning_rate': 0.000784, 'epoch': 5.1}
{'loss': 0.8108, 'grad_norm': 1.5792890787124634, 'learning_rate': 0.000768, 'epoch': 5.2}
{'loss': 0.822, 'grad_norm': 2.206855058670044, 'learning_rate': 0.000752, 'epoch': 5.3}
{'loss': 0.8912, 'grad_norm': 1.5919915437698364, 'learning_rate': 0.0007360000000000001, 'epoch': 5.4}
{'loss': 0.8236, 'grad_norm': 1.8841564655303955, 'learning_rate': 0.00072, 'epoch': 5.5}
{'loss': 0.8563, 'grad_norm': 1.7133105993270874, 'learning_rate': 0.0007040000000000001, 'epoch': 5.6}
{'loss': 0.9186, 'grad_norm': 1.8019553422927856, 'learning_rate': 0.000688, 'epoch': 5.7}
{'loss': 0.8705, 'grad_norm': 1.8495850563049316, 'learning_rate': 0.000672, 'epoch': 5.8}
