Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 2.9884, 'grad_norm': 2.0752217769622803, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 1.869, 'grad_norm': 1.8790072202682495, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 1.9822, 'grad_norm': 2.24484920501709, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.6587, 'grad_norm': 1.844301462173462, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.7936, 'grad_norm': 1.7868492603302002, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.8114, 'grad_norm': 2.063673734664917, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.6135, 'grad_norm': 1.8840070962905884, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.6646, 'grad_norm': 2.036956787109375, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 1.7651, 'grad_norm': 2.0665078163146973, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 1.7577, 'grad_norm': 2.150010108947754, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.4483240842819214, 'eval_runtime': 3.4928, 'eval_samples_per_second': 37.792, 'eval_steps_per_second': 18.896, 'epoch': 1.0}
{'loss': 1.162, 'grad_norm': 2.6629152297973633, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.1969, 'grad_norm': 2.5856456756591797, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.2661, 'grad_norm': 2.3493154048919678, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.3583, 'grad_norm': 2.4411659240722656, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.3879, 'grad_norm': 2.511151075363159, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.3192, 'grad_norm': 2.8148248195648193, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.2725, 'grad_norm': 2.0323843955993652, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.5256, 'grad_norm': 2.877995014190674, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.7896, 'grad_norm': 2.8327882289886475, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 1.3085, 'grad_norm': 2.259366035461426, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.6080371141433716, 'eval_runtime': 3.5547, 'eval_samples_per_second': 37.134, 'eval_steps_per_second': 18.567, 'epoch': 2.0}
{'loss': 1.0342, 'grad_norm': 2.5603466033935547, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 1.1792, 'grad_norm': 1.992942214012146, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 1.2082, 'grad_norm': 2.2252602577209473, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 1.2391, 'grad_norm': 2.426593065261841, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 1.348, 'grad_norm': 2.5501279830932617, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 1.4229, 'grad_norm': 2.534154176712036, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 1.308, 'grad_norm': 2.675416946411133, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 1.387, 'grad_norm': 2.8250575065612793, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 1.5776, 'grad_norm': 2.6022157669067383, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 1.5888, 'grad_norm': 2.677990436553955, 'learning_rate': 0.00112, 'epoch': 3.0}
{'eval_loss': 1.6867009401321411, 'eval_runtime': 3.5603, 'eval_samples_per_second': 37.076, 'eval_steps_per_second': 18.538, 'epoch': 3.0}
{'loss': 1.0502, 'grad_norm': 2.3747332096099854, 'learning_rate': 0.001104, 'epoch': 3.1}
{'loss': 1.0284, 'grad_norm': 2.255204200744629, 'learning_rate': 0.0010880000000000002, 'epoch': 3.2}
{'loss': 1.1581, 'grad_norm': 2.6079840660095215, 'learning_rate': 0.001072, 'epoch': 3.3}
{'loss': 1.3366, 'grad_norm': 2.7160093784332275, 'learning_rate': 0.001056, 'epoch': 3.4}
{'loss': 1.221, 'grad_norm': 2.566037893295288, 'learning_rate': 0.0010400000000000001, 'epoch': 3.5}
{'loss': 1.1604, 'grad_norm': 3.032322883605957, 'learning_rate': 0.0010240000000000002, 'epoch': 3.6}
{'loss': 1.3394, 'grad_norm': 2.820919990539551, 'learning_rate': 0.001008, 'epoch': 3.7}
{'loss': 1.3309, 'grad_norm': 2.7770211696624756, 'learning_rate': 0.000992, 'epoch': 3.8}
{'loss': 1.3101, 'grad_norm': 2.5064656734466553, 'learning_rate': 0.000976, 'epoch': 3.9}
{'loss': 1.4812, 'grad_norm': 2.6050426959991455, 'learning_rate': 0.00096, 'epoch': 4.0}
{'eval_loss': 1.7200627326965332, 'eval_runtime': 3.5638, 'eval_samples_per_second': 37.04, 'eval_steps_per_second': 18.52, 'epoch': 4.0}
{'loss': 0.9081, 'grad_norm': 2.572622299194336, 'learning_rate': 0.000944, 'epoch': 4.1}
{'loss': 1.0743, 'grad_norm': 2.572805166244507, 'learning_rate': 0.000928, 'epoch': 4.2}
{'loss': 1.0397, 'grad_norm': 2.686249256134033, 'learning_rate': 0.0009119999999999999, 'epoch': 4.3}
{'loss': 1.0156, 'grad_norm': 2.500800848007202, 'learning_rate': 0.0008960000000000001, 'epoch': 4.4}
{'loss': 1.1381, 'grad_norm': 2.8554952144622803, 'learning_rate': 0.0008800000000000001, 'epoch': 4.5}
{'loss': 1.1623, 'grad_norm': 2.646770715713501, 'learning_rate': 0.0008640000000000001, 'epoch': 4.6}
{'loss': 1.1797, 'grad_norm': 2.217470645904541, 'learning_rate': 0.0008480000000000001, 'epoch': 4.7}
{'loss': 1.3396, 'grad_norm': 2.973499298095703, 'learning_rate': 0.0008320000000000001, 'epoch': 4.8}
{'loss': 1.3934, 'grad_norm': 2.6021506786346436, 'learning_rate': 0.0008160000000000001, 'epoch': 4.9}
{'loss': 1.2942, 'grad_norm': 2.560065269470215, 'learning_rate': 0.0008, 'epoch': 5.0}
{'eval_loss': 1.7167390584945679, 'eval_runtime': 3.5635, 'eval_samples_per_second': 37.042, 'eval_steps_per_second': 18.521, 'epoch': 5.0}
{'loss': 0.9486, 'grad_norm': 2.4538509845733643, 'learning_rate': 0.000784, 'epoch': 5.1}
{'loss': 0.8912, 'grad_norm': 2.6453640460968018, 'learning_rate': 0.000768, 'epoch': 5.2}
{'loss': 0.9553, 'grad_norm': 2.6572742462158203, 'learning_rate': 0.000752, 'epoch': 5.3}
{'loss': 1.0762, 'grad_norm': 2.2834737300872803, 'learning_rate': 0.0007360000000000001, 'epoch': 5.4}
{'loss': 1.0165, 'grad_norm': 2.9355108737945557, 'learning_rate': 0.00072, 'epoch': 5.5}
{'loss': 1.0808, 'grad_norm': 2.279238700866699, 'learning_rate': 0.0007040000000000001, 'epoch': 5.6}
{'loss': 1.1565, 'grad_norm': 2.4567739963531494, 'learning_rate': 0.000688, 'epoch': 5.7}
{'loss': 1.125, 'grad_norm': 2.544489860534668, 'learning_rate': 0.000672, 'epoch': 5.8}
{'loss': 1.2159, 'grad_norm': 2.401899814605713, 'learning_rate': 0.000656, 'epoch': 5.9}
{'loss': 1.1514, 'grad_norm': 2.180999994277954, 'learning_rate': 0.00064, 'epoch': 6.0}
{'eval_loss': 1.7030504941940308, 'eval_runtime': 3.5346, 'eval_samples_per_second': 37.345, 'eval_steps_per_second': 18.672, 'epoch': 6.0}
{'loss': 0.8482, 'grad_norm': 2.3274593353271484, 'learning_rate': 0.0006240000000000001, 'epoch': 6.1}
{'loss': 0.9334, 'grad_norm': 2.5337069034576416, 'learning_rate': 0.000608, 'epoch': 6.2}
{'loss': 0.8127, 'grad_norm': 2.6435024738311768, 'learning_rate': 0.000592, 'epoch': 6.3}
