{'loss': 4.1304, 'grad_norm': 3.452777147293091, 'learning_rate': 0.0015840000000000001, 'epoch': 0.05}
{'loss': 2.6231, 'grad_norm': 2.7335519790649414, 'learning_rate': 0.001568, 'epoch': 0.1}
{'loss': 2.425, 'grad_norm': 5.493844985961914, 'learning_rate': 0.001552, 'epoch': 0.15}
{'loss': 2.2041, 'grad_norm': 2.438560962677002, 'learning_rate': 0.001536, 'epoch': 0.2}
{'loss': 2.0471, 'grad_norm': 3.5195112228393555, 'learning_rate': 0.00152, 'epoch': 0.25}
{'loss': 2.4316, 'grad_norm': 3.513258218765259, 'learning_rate': 0.001504, 'epoch': 0.3}
{'loss': 1.9985, 'grad_norm': 46.167598724365234, 'learning_rate': 0.0014880000000000002, 'epoch': 0.35}
{'loss': 1.7608, 'grad_norm': 4.314398765563965, 'learning_rate': 0.0014720000000000002, 'epoch': 0.4}
{'loss': 1.9603, 'grad_norm': 2.059734582901001, 'learning_rate': 0.001456, 'epoch': 0.45}
{'loss': 1.7137, 'grad_norm': 3.329681634902954, 'learning_rate': 0.00144, 'epoch': 0.5}
{'eval_loss': 1.4772939682006836, 'eval_runtime': 3.1875, 'eval_samples_per_second': 41.412, 'eval_steps_per_second': 20.706, 'epoch': 0.5}
{'loss': 1.8025, 'grad_norm': 1.4430217742919922, 'learning_rate': 0.0014240000000000001, 'epoch': 0.55}
{'loss': 1.8083, 'grad_norm': 2.1319639682769775, 'learning_rate': 0.0014080000000000002, 'epoch': 0.6}
{'loss': 1.5531, 'grad_norm': 2.7079622745513916, 'learning_rate': 0.001392, 'epoch': 0.65}
{'loss': 1.6927, 'grad_norm': 1.8838732242584229, 'learning_rate': 0.001376, 'epoch': 0.7}
{'loss': 1.6418, 'grad_norm': 2.266099452972412, 'learning_rate': 0.00136, 'epoch': 0.75}
{'loss': 1.6949, 'grad_norm': 1.8579362630844116, 'learning_rate': 0.001344, 'epoch': 0.8}
{'loss': 1.6843, 'grad_norm': 1.8223804235458374, 'learning_rate': 0.001328, 'epoch': 0.85}
{'loss': 1.6788, 'grad_norm': 1.9084521532058716, 'learning_rate': 0.001312, 'epoch': 0.9}
{'loss': 1.6659, 'grad_norm': 2.1504783630371094, 'learning_rate': 0.001296, 'epoch': 0.95}
{'loss': 1.6956, 'grad_norm': 1.7245044708251953, 'learning_rate': 0.00128, 'epoch': 1.0}
{'eval_loss': 1.3547765016555786, 'eval_runtime': 3.1634, 'eval_samples_per_second': 41.728, 'eval_steps_per_second': 20.864, 'epoch': 1.0}
{'loss': 1.1916, 'grad_norm': 1.5942399501800537, 'learning_rate': 0.0012640000000000001, 'epoch': 1.05}
{'loss': 1.8195, 'grad_norm': 2.279099702835083, 'learning_rate': 0.0012480000000000002, 'epoch': 1.1}
{'loss': 1.5505, 'grad_norm': 1.831457257270813, 'learning_rate': 0.001232, 'epoch': 1.15}
{'loss': 1.584, 'grad_norm': 1.7802050113677979, 'learning_rate': 0.001216, 'epoch': 1.2}
{'loss': 1.4923, 'grad_norm': 2.0394537448883057, 'learning_rate': 0.0012000000000000001, 'epoch': 1.25}
{'loss': 1.7176, 'grad_norm': 1.9281539916992188, 'learning_rate': 0.001184, 'epoch': 1.3}
{'loss': 1.7101, 'grad_norm': 2.0320544242858887, 'learning_rate': 0.001168, 'epoch': 1.35}
{'loss': 1.5379, 'grad_norm': 1.694117546081543, 'learning_rate': 0.001152, 'epoch': 1.4}
{'loss': 1.5985, 'grad_norm': 2.253977060317993, 'learning_rate': 0.001136, 'epoch': 1.45}
{'loss': 1.5344, 'grad_norm': 2.169877052307129, 'learning_rate': 0.00112, 'epoch': 1.5}
