Old Log Name,Log Name
000_bart-base.txt,bart-base_lora-8-32-0_ebs-8_lr-0.00005-linear
001_bart-base.txt,bart-base_lora-8-32-0_ebs-8_lr-0.0001-linear
002_bart-base.txt,bart-base_lora-8-32-0_ebs-8_lr-0.0002-linear
003_bart-base.txt,bart-base_lora-8-32-0_ebs-8_lr-0.0004-linear
004_bart-base.txt,bart-base_lora-8-32-0_ebs-8_lr-0.0008-linear
005_bart-base.txt,bart-base_lora-8-32-0_ebs-8_lr-0.0016-linear
006_bart-base.txt,bart-base_uf-none_ebs-8_lr-0.0032-linear
014_bart-base.txt,bart-base_uf-none_ebs-4_lr-0.0016-linear
015_bart-base.txt,bart-base_uf-none_ebs-16_lr-0.0016-linear
005-10_bart-base.txt,bart-base_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear
05-30_bart-base.txt,bart-base_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999
05-30-og_bart-base.txt,bart-base_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999_ogtvsplit
023_bart-base.txt,bart-base_lora-2-32-0_ebs-8_lr-0.0016-linear
025_bart-base.txt,bart-base_lora-16-32-0_ebs-8_lr-0.0016-linear
026_bart-base.txt,bart-base_lora-32-32-0_ebs-8_lr-0.0016-linear
035_bart-base.txt,bart-base_lora-8-64-0_ebs-8_lr-0.0016-linear
036_bart-base.txt,bart-base_lora-32-64-0_ebs-8_lr-0.0016-linear
046_bart-base.txt,bart-base_lora-32-128-0_ebs-8_lr-0.0016-linear
047_bart-base.txt,bart-base_lora-64-128-0_ebs-8_lr-0.0016-linear
026-lm-30_bart-base.txt,bart-base_uf-lm-head_lora-32-32-0_ebs-8_lr-0.0016-step-1-0.999
028-lm-30_bart-base.txt,bart-base_uf-lm-head_lora-128-32-0_ebs-8_lr-0.0016-step-1-0.999
028-lm-30a_bart-base.txt,bart-base_uf-lm-head_lora-128-256-0_ebs-8_lr-0.0016-step-1-0.999
005a_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-5_ebs-8_lr-0.0016-linear
005a-10_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear
005-lm-30_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999
05-30-og-lm_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999_ogtvsplit
055_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_drop-0.2-0.1-0.1
055a_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_drop-0.2-0.2-0.1
055b_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_drop-0.2-0.1-0.2
055c_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_drop-0.2-0.2-0.2
055c-30-og_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999_drop-0.2-0.2-0.2
057_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_drop-0.4-0.1-0.1
062_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_drop-0.9-0.1-0.1
065_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-0.0001
067_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-0.01
069_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-1
069.1_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-2
069.3_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-4
069.3-30c_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999_wd-4
069.3-30c-og_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999_wd-4_ogtvsplit
069.6_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-7
069.6-30_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-linear_wd-7
069.6-30a_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.000533-linear_wd-7
069.6-30b_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0008-linear_wd-7
069.6-30c_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-30_ebs-8_lr-0.0016-step-1-0.999_wd-7
070_bart-base.txt,bart-base_uf-lm-head_lora-8-32-0_epoch-10_ebs-8_lr-0.0016-linear_wd-10
000-all-30_bart-base.txt,bart-base_uf-all_ebs-8_lr-0.00005-step-1-0.998
