Unfreezing base_model.model.lm_head
trainable params: 39,045,888 || all params: 139,862,784 || trainable%: 27.9173
{'loss': 3.061, 'grad_norm': 2.4128026962280273, 'learning_rate': 0.0015840000000000001, 'epoch': 0.1}
{'loss': 1.847, 'grad_norm': 2.196502208709717, 'learning_rate': 0.001568, 'epoch': 0.2}
{'loss': 1.9893, 'grad_norm': 1.8294918537139893, 'learning_rate': 0.001552, 'epoch': 0.3}
{'loss': 1.6158, 'grad_norm': 2.0077579021453857, 'learning_rate': 0.001536, 'epoch': 0.4}
{'loss': 1.7079, 'grad_norm': 1.619216799736023, 'learning_rate': 0.00152, 'epoch': 0.5}
{'loss': 1.7572, 'grad_norm': 1.7062878608703613, 'learning_rate': 0.001504, 'epoch': 0.6}
{'loss': 1.5354, 'grad_norm': 1.8244489431381226, 'learning_rate': 0.0014880000000000002, 'epoch': 0.7}
{'loss': 1.5739, 'grad_norm': 1.5397162437438965, 'learning_rate': 0.0014720000000000002, 'epoch': 0.8}
{'loss': 1.6313, 'grad_norm': 1.7642287015914917, 'learning_rate': 0.001456, 'epoch': 0.9}
{'loss': 1.6042, 'grad_norm': 2.1044819355010986, 'learning_rate': 0.00144, 'epoch': 1.0}
{'eval_loss': 1.3505113124847412, 'eval_runtime': 3.1644, 'eval_samples_per_second': 41.714, 'eval_steps_per_second': 20.857, 'epoch': 1.0}
{'loss': 1.0296, 'grad_norm': 1.7791798114776611, 'learning_rate': 0.0014240000000000001, 'epoch': 1.1}
{'loss': 1.0131, 'grad_norm': 1.616186499595642, 'learning_rate': 0.0014080000000000002, 'epoch': 1.2}
{'loss': 1.0686, 'grad_norm': 1.5305211544036865, 'learning_rate': 0.001392, 'epoch': 1.3}
{'loss': 1.1692, 'grad_norm': 1.4607998132705688, 'learning_rate': 0.001376, 'epoch': 1.4}
{'loss': 1.1359, 'grad_norm': 1.5371416807174683, 'learning_rate': 0.00136, 'epoch': 1.5}
{'loss': 1.0377, 'grad_norm': 1.4475772380828857, 'learning_rate': 0.001344, 'epoch': 1.6}
{'loss': 1.0042, 'grad_norm': 1.3916045427322388, 'learning_rate': 0.001328, 'epoch': 1.7}
{'loss': 1.1189, 'grad_norm': 1.723192572593689, 'learning_rate': 0.001312, 'epoch': 1.8}
{'loss': 1.3064, 'grad_norm': 1.5923593044281006, 'learning_rate': 0.001296, 'epoch': 1.9}
{'loss': 0.9326, 'grad_norm': 1.581626296043396, 'learning_rate': 0.00128, 'epoch': 2.0}
{'eval_loss': 1.355661392211914, 'eval_runtime': 3.425, 'eval_samples_per_second': 38.54, 'eval_steps_per_second': 19.27, 'epoch': 2.0}
{'loss': 0.7412, 'grad_norm': 1.7315601110458374, 'learning_rate': 0.0012640000000000001, 'epoch': 2.1}
{'loss': 0.8324, 'grad_norm': 1.424426794052124, 'learning_rate': 0.0012480000000000002, 'epoch': 2.2}
{'loss': 0.809, 'grad_norm': 1.3903006315231323, 'learning_rate': 0.001232, 'epoch': 2.3}
{'loss': 0.7787, 'grad_norm': 1.4989802837371826, 'learning_rate': 0.001216, 'epoch': 2.4}
{'loss': 0.8131, 'grad_norm': 1.3400650024414062, 'learning_rate': 0.0012000000000000001, 'epoch': 2.5}
{'loss': 0.8818, 'grad_norm': 1.6295474767684937, 'learning_rate': 0.001184, 'epoch': 2.6}
{'loss': 0.7798, 'grad_norm': 1.8756734132766724, 'learning_rate': 0.001168, 'epoch': 2.7}
{'loss': 0.8052, 'grad_norm': 1.3387824296951294, 'learning_rate': 0.001152, 'epoch': 2.8}
{'loss': 0.9136, 'grad_norm': 1.65138578414917, 'learning_rate': 0.001136, 'epoch': 2.9}
{'loss': 0.9343, 'grad_norm': 1.3962420225143433, 'learning_rate': 0.00112, 'epoch': 3.0}
{'eval_loss': 1.3947936296463013, 'eval_runtime': 3.4956, 'eval_samples_per_second': 37.762, 'eval_steps_per_second': 18.881, 'epoch': 3.0}
{'loss': 0.6165, 'grad_norm': 1.3176240921020508, 'learning_rate': 0.001104, 'epoch': 3.1}
{'loss': 0.6044, 'grad_norm': 1.617383599281311, 'learning_rate': 0.0010880000000000002, 'epoch': 3.2}
{'loss': 0.6396, 'grad_norm': 1.3685824871063232, 'learning_rate': 0.001072, 'epoch': 3.3}
{'loss': 0.7492, 'grad_norm': 1.3542258739471436, 'learning_rate': 0.001056, 'epoch': 3.4}
{'loss': 0.6415, 'grad_norm': 1.5677721500396729, 'learning_rate': 0.0010400000000000001, 'epoch': 3.5}
{'loss': 0.624, 'grad_norm': 1.7165614366531372, 'learning_rate': 0.0010240000000000002, 'epoch': 3.6}
{'loss': 0.6989, 'grad_norm': 1.6834890842437744, 'learning_rate': 0.001008, 'epoch': 3.7}
{'loss': 0.6262, 'grad_norm': 1.532143473625183, 'learning_rate': 0.000992, 'epoch': 3.8}
{'loss': 0.6533, 'grad_norm': 1.3207321166992188, 'learning_rate': 0.000976, 'epoch': 3.9}
{'loss': 0.7579, 'grad_norm': 1.1955894231796265, 'learning_rate': 0.00096, 'epoch': 4.0}
{'eval_loss': 1.4538923501968384, 'eval_runtime': 3.5651, 'eval_samples_per_second': 37.026, 'eval_steps_per_second': 18.513, 'epoch': 4.0}
{'loss': 0.4742, 'grad_norm': 1.410483479499817, 'learning_rate': 0.000944, 'epoch': 4.1}
{'loss': 0.5732, 'grad_norm': 1.5805213451385498, 'learning_rate': 0.000928, 'epoch': 4.2}
{'loss': 0.5239, 'grad_norm': 1.7086836099624634, 'learning_rate': 0.0009119999999999999, 'epoch': 4.3}
{'loss': 0.48, 'grad_norm': 1.4190365076065063, 'learning_rate': 0.0008960000000000001, 'epoch': 4.4}
{'loss': 0.5437, 'grad_norm': 1.1685726642608643, 'learning_rate': 0.0008800000000000001, 'epoch': 4.5}
{'loss': 0.5459, 'grad_norm': 1.7619919776916504, 'learning_rate': 0.0008640000000000001, 'epoch': 4.6}
{'loss': 0.5333, 'grad_norm': 1.1317676305770874, 'learning_rate': 0.0008480000000000001, 'epoch': 4.7}
{'loss': 0.571, 'grad_norm': 2.052642822265625, 'learning_rate': 0.0008320000000000001, 'epoch': 4.8}
{'loss': 0.5968, 'grad_norm': 1.2708178758621216, 'learning_rate': 0.0008160000000000001, 'epoch': 4.9}
{'loss': 0.5868, 'grad_norm': 1.779276967048645, 'learning_rate': 0.0008, 'epoch': 5.0}
{'eval_loss': 1.464535117149353, 'eval_runtime': 3.5752, 'eval_samples_per_second': 36.921, 'eval_steps_per_second': 18.46, 'epoch': 5.0}
{'loss': 0.4333, 'grad_norm': 1.436211347579956, 'learning_rate': 0.000784, 'epoch': 5.1}
{'loss': 0.4261, 'grad_norm': 1.1185991764068604, 'learning_rate': 0.000768, 'epoch': 5.2}
{'loss': 0.4183, 'grad_norm': 1.7288647890090942, 'learning_rate': 0.000752, 'epoch': 5.3}
{'loss': 0.4766, 'grad_norm': 1.2083004713058472, 'learning_rate': 0.0007360000000000001, 'epoch': 5.4}
{'loss': 0.4104, 'grad_norm': 1.2747715711593628, 'learning_rate': 0.00072, 'epoch': 5.5}
{'loss': 0.4881, 'grad_norm': 1.113766074180603, 'learning_rate': 0.0007040000000000001, 'epoch': 5.6}
{'loss': 0.489, 'grad_norm': 1.4859485626220703, 'learning_rate': 0.000688, 'epoch': 5.7}
{'loss': 0.4617, 'grad_norm': 1.4446632862091064, 'learning_rate': 0.000672, 'epoch': 5.8}
{'loss': 0.4953, 'grad_norm': 1.3124107122421265, 'learning_rate': 0.000656, 'epoch': 5.9}
{'loss': 0.4744, 'grad_norm': 1.1364389657974243, 'learning_rate': 0.00064, 'epoch': 6.0}
{'eval_loss': 1.51523756980896, 'eval_runtime': 3.5658, 'eval_samples_per_second': 37.018, 'eval_steps_per_second': 18.509, 'epoch': 6.0}
{'loss': 0.3803, 'grad_norm': 1.195651888847351, 'learning_rate': 0.0006240000000000001, 'epoch': 6.1}
{'loss': 0.383, 'grad_norm': 1.2358349561691284, 'learning_rate': 0.000608, 'epoch': 6.2}
{'loss': 0.3357, 'grad_norm': 1.5905077457427979, 'learning_rate': 0.000592, 'epoch': 6.3}
{'loss': 0.3872, 'grad_norm': 1.5487998723983765, 'learning_rate': 0.000576, 'epoch': 6.4}
{'loss': 0.3673, 'grad_norm': 1.006602168083191, 'learning_rate': 0.00056, 'epoch': 6.5}
{'loss': 0.4138, 'grad_norm': 0.9511439204216003, 'learning_rate': 0.0005440000000000001, 'epoch': 6.6}
{'loss': 0.3658, 'grad_norm': 82.29569244384766, 'learning_rate': 0.000528, 'epoch': 6.7}
{'loss': 0.4605, 'grad_norm': 1.8408589363098145, 'learning_rate': 0.0005120000000000001, 'epoch': 6.8}
{'loss': 0.3406, 'grad_norm': 1.0584707260131836, 'learning_rate': 0.000496, 'epoch': 6.9}
{'loss': 0.4213, 'grad_norm': 1.4730697870254517, 'learning_rate': 0.00048, 'epoch': 7.0}
{'eval_loss': 1.5594114065170288, 'eval_runtime': 3.5658, 'eval_samples_per_second': 37.019, 'eval_steps_per_second': 18.509, 'epoch': 7.0}
{'loss': 0.3209, 'grad_norm': 1.1881378889083862, 'learning_rate': 0.000464, 'epoch': 7.1}
{'loss': 0.3471, 'grad_norm': 1.3902783393859863, 'learning_rate': 0.00044800000000000005, 'epoch': 7.2}
{'loss': 0.3129, 'grad_norm': 1.1259170770645142, 'learning_rate': 0.00043200000000000004, 'epoch': 7.3}
{'loss': 0.2971, 'grad_norm': 1.0910580158233643, 'learning_rate': 0.00041600000000000003, 'epoch': 7.4}
{'loss': 0.3391, 'grad_norm': 1.4733141660690308, 'learning_rate': 0.0004, 'epoch': 7.5}
{'loss': 0.352, 'grad_norm': 1.1869220733642578, 'learning_rate': 0.000384, 'epoch': 7.6}
{'loss': 0.3302, 'grad_norm': 1.8598912954330444, 'learning_rate': 0.00036800000000000005, 'epoch': 7.7}
{'loss': 0.3238, 'grad_norm': 1.3174537420272827, 'learning_rate': 0.00035200000000000005, 'epoch': 7.8}
{'loss': 0.3152, 'grad_norm': 1.1226712465286255, 'learning_rate': 0.000336, 'epoch': 7.9}
{'loss': 0.3298, 'grad_norm': 1.2747939825057983, 'learning_rate': 0.00032, 'epoch': 8.0}
{'eval_loss': 1.6332969665527344, 'eval_runtime': 3.6773, 'eval_samples_per_second': 35.896, 'eval_steps_per_second': 17.948, 'epoch': 8.0}
{'loss': 0.283, 'grad_norm': 1.2849462032318115, 'learning_rate': 0.000304, 'epoch': 8.1}
{'loss': 0.3035, 'grad_norm': 1.1394338607788086, 'learning_rate': 0.000288, 'epoch': 8.2}
{'loss': 0.279, 'grad_norm': 0.9703847169876099, 'learning_rate': 0.00027200000000000005, 'epoch': 8.3}
{'loss': 0.2662, 'grad_norm': 0.9548652768135071, 'learning_rate': 0.00025600000000000004, 'epoch': 8.4}
{'loss': 0.2408, 'grad_norm': 1.1372638940811157, 'learning_rate': 0.00024, 'epoch': 8.5}
{'loss': 0.273, 'grad_norm': 1.1698299646377563, 'learning_rate': 0.00022400000000000002, 'epoch': 8.6}
{'loss': 0.2876, 'grad_norm': 1.1546440124511719, 'learning_rate': 0.00020800000000000001, 'epoch': 8.7}
{'loss': 0.2829, 'grad_norm': 1.0270538330078125, 'learning_rate': 0.000192, 'epoch': 8.8}
