Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
0,85.97,0.21,82.71,1.73,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
1,93.07,0.18,80.8,1.09,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
2,84.71,0.48,81.7,1.69,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
3,93.8,0.15,81.25,1.0,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
4,85.47,0.3,82.49,2.07,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
5,93.07,0.18,81.14,1.17,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
6,84.62,0.46,81.03,1.48,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
7,93.8,0.15,81.25,1.06,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
8,84.9,0.3,82.83,1.58,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
9,94.58,0.15,80.91,1.41,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
10,84.2,0.33,83.27,1.53,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
11,94.98,0.09,82.04,1.1,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
12,83.92,0.47,82.82,1.58,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
13,94.58,0.15,80.47,1.23,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
14,84.2,0.3,83.16,1.56,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
15,94.98,0.09,81.25,1.26,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
