Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
0,81.79,0.49,79.23,1.83,"{'data_prep__numeric_columns': ['Pclass', 'SibSp', 'Parch'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
1,82.32,0.49,77.21,2.37,"{'data_prep__numeric_columns': ['Pclass', 'SibSp', 'Parch'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
2,80.7,0.51,79.79,2.01,"{'data_prep__numeric_columns': ['SibSp', 'Parch'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
3,80.89,0.5,78.45,2.15,"{'data_prep__numeric_columns': ['SibSp', 'Parch'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
4,79.04,0.35,77.21,1.38,"{'data_prep__numeric_columns': ['Pclass'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
5,79.04,0.35,77.21,1.38,"{'data_prep__numeric_columns': ['Pclass'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
6,78.68,0.51,78.67,2.02,"{'data_prep__numeric_columns': [], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
7,78.68,0.51,78.67,2.02,"{'data_prep__numeric_columns': [], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
8,81.59,0.43,79.57,1.65,"{'data_prep__extract_fam': True, 'data_prep__numeric_columns': ['Pclass'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
9,81.68,0.46,78.67,1.97,"{'data_prep__extract_fam': True, 'data_prep__numeric_columns': ['Pclass'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
10,72.25,0.53,69.35,1.54,"{'data_prep__numeric_columns': ['Pclass', 'SibSp', 'Parch'], 'data_prep__ordinal_columns': [], 'model__max_depth': 5}"
11,72.31,0.55,69.35,1.76,"{'data_prep__numeric_columns': ['Pclass', 'SibSp', 'Parch'], 'data_prep__ordinal_columns': [], 'model__max_depth': 20}"
