Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
0,86.64,0.37,82.49,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
1,98.2,0.13,81.7,1.27,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
2,86.34,0.21,83.27,1.41,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
3,98.4,0.13,82.15,1.03,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
4,86.17,0.19,81.81,1.5,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
5,98.2,0.13,81.14,1.27,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
6,84.96,0.39,81.93,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
7,98.4,0.13,81.59,1.22,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
8,86.2,0.34,82.83,1.34,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
9,98.43,0.13,81.25,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
