Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
0,85.02,0.26,83.05,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
1,86.92,0.2,83.5,1.5,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
2,89.84,0.18,84.28,1.18,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
3,91.67,0.21,83.61,1.13,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
4,92.96,0.33,82.71,1.28,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
5,94.39,0.23,83.16,1.38,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
6,98.37,0.14,81.59,1.49,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
7,98.63,0.13,81.25,1.35,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
8,84.43,0.24,83.16,1.47,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
9,86.56,0.2,83.84,1.64,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
10,88.94,0.43,83.39,1.28,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
11,90.85,0.19,82.94,1.55,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
12,91.95,0.17,83.05,1.39,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
13,93.24,0.21,82.49,1.25,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
14,94.98,0.09,81.48,1.11,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
15,94.98,0.09,81.59,1.15,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
16,85.07,0.26,83.05,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
17,86.9,0.19,83.5,1.5,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
18,89.81,0.16,84.28,1.18,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
19,91.61,0.18,83.39,1.19,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
