Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
0,51.5,0.27,40.72,1.92,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5, 'model__n_estimators': 100}"
1,51.46,0.28,40.76,1.87,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5, 'model__n_estimators': 75}"
2,51.41,0.28,40.6,1.96,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5, 'model__n_estimators': 50}"
3,51.3,0.29,40.56,2.08,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5, 'model__n_estimators': 25}"
4,50.54,0.25,39.5,2.04,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5, 'model__n_estimators': 10}"
5,69.15,0.6,34.29,2.84,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10, 'model__n_estimators': 100}"
6,69.03,0.58,34.28,2.83,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10, 'model__n_estimators': 75}"
7,68.75,0.57,34.51,3.06,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10, 'model__n_estimators': 50}"
8,68.39,0.55,33.92,3.05,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10, 'model__n_estimators': 25}"
9,67.24,0.62,32.76,3.85,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10, 'model__n_estimators': 10}"
10,73.74,0.65,30.09,3.21,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15, 'model__n_estimators': 100}"
11,73.62,0.64,30.22,3.12,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15, 'model__n_estimators': 75}"
12,73.51,0.62,30.35,3.29,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15, 'model__n_estimators': 50}"
13,73.05,0.58,30.21,3.02,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15, 'model__n_estimators': 25}"
14,71.76,0.57,28.46,3.44,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15, 'model__n_estimators': 10}"
15,74.12,0.66,29.18,3.37,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20, 'model__n_estimators': 100}"
16,74.02,0.65,29.31,3.22,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20, 'model__n_estimators': 75}"
17,73.9,0.65,29.28,3.57,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20, 'model__n_estimators': 50}"
18,73.43,0.6,28.96,3.42,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20, 'model__n_estimators': 25}"
19,71.98,0.59,27.04,4.24,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20, 'model__n_estimators': 10}"
20,49.34,0.29,41.99,1.52,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5, 'model__n_estimators': 100}"
21,49.33,0.29,42.07,1.51,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5, 'model__n_estimators': 75}"
22,49.29,0.28,41.95,1.5,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5, 'model__n_estimators': 50}"
23,49.14,0.28,41.77,1.59,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5, 'model__n_estimators': 25}"
24,48.67,0.27,40.94,1.53,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5, 'model__n_estimators': 10}"
25,56.36,0.32,38.91,2.18,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10, 'model__n_estimators': 100}"
